,zurich,penumbra,compactness,x_ray_class,association
1981-12-28 20:28:00,D,R,O,M,associated
1982-01-08 13:54:00,E,K,O,M,associated
1982-01-09 13:41:00,A,X,X,M,associated
1982-01-13 01:28:00,D,A,O,M,associated
1982-01-24 19:52:00,D,K,C,M,associated
1982-02-02 22:12:00,E,S,I,M,associated
1982-02-02 22:57:00,F,K,C,M,associated
1982-02-03 01:03:00,F,K,C,X,associated
1982-02-03 11:55:00,E,S,I,M,associated
1982-02-03 19:47:00,E,K,I,M,associated
1982-02-03 20:43:00,E,K,I,M,associated
1982-02-04 00:42:00,E,K,I,M,associated
1982-02-04 15:41:00,F,A,I,M,associated
1982-02-04 18:49:00,F,K,I,M,associated
1982-02-04 20:27:00,F,K,I,M,associated
1982-02-06 11:04:00,F,K,O,M,associated
1982-02-06 14:42:00,F,K,O,M,associated
1982-02-07 12:50:00,F,K,O,X,associated
1982-02-07 20:47:00,F,K,C,M,associated
1982-02-09 09:18:00,C,A,O,M,associated
1982-02-10 00:56:00,H,S,X,M,associated
1982-02-10 15:41:00,F,K,C,M,associated
1982-02-10 20:00:00,E,K,I,M,associated
1982-02-13 20:53:00,D,K,C,M,associated
1982-02-14 09:40:00,D,S,O,M,associated
1982-02-17 21:27:00,D,K,I,M,associated
1982-02-18 09:03:00,E,K,O,M,associated
1982-02-18 13:04:00,D,K,O,M,associated
1982-02-19 13:23:00,D,K,O,M,associated
1982-02-20 09:15:00,D,K,O,M,associated
1982-02-20 17:56:00,H,S,X,M,associated
1982-03-08 19:31:00,D,S,O,M,associated
1982-03-08 20:10:00,D,S,O,M,associated
1982-03-15 23:37:00,D,S,O,M,associated
1982-03-18 21:24:00,E,K,C,M,associated
1982-03-24 21:28:00,E,K,C,M,associated
1982-03-25 01:34:00,E,K,C,M,associated
1982-03-25 16:25:00,E,K,I,M,associated
1982-03-27 14:10:00,E,K,I,M,associated
1982-03-28 10:04:00,E,A,O,M,associated
1982-03-29 09:04:00,E,K,I,M,associated
1982-03-30 14:18:00,E,K,I,M,associated
1982-03-30 23:40:00,E,K,I,M,associated
1982-03-31 22:23:00,E,K,C,M,associated
1982-04-01 19:27:00,E,K,I,M,associated
1982-04-02 09:00:00,F,K,O,M,associated
1982-04-11 23:28:00,E,K,I,M,associated
1982-04-12 11:41:00,B,X,O,M,associated
1982-04-19 18:10:00,D,A,O,M,associated
1982-04-29 11:11:00,D,A,O,M,associated
1982-05-02 15:14:00,B,X,O,M,associated
1982-05-04 00:03:00,E,A,O,M,associated
1982-05-18 12:14:00,D,S,O,M,associated
1982-05-20 14:10:00,D,K,I,M,associated
1982-05-21 14:18:00,E,K,I,M,associated
1982-05-21 19:43:00,E,K,I,M,associated
1982-05-22 00:35:00,E,K,I,M,associated
1982-05-22 16:59:00,E,K,I,M,associated
1982-05-23 02:11:00,E,A,I,M,associated
1982-05-23 18:43:00,E,A,C,M,associated
1982-05-28 15:29:00,E,K,I,M,associated
1982-05-28 17:06:00,D,K,I,M,associated
1982-06-02 15:08:00,D,K,I,M,associated
1982-06-03 08:30:00,E,K,I,M,associated
1982-06-03 11:41:00,E,K,I,X,associated
1982-06-03 15:03:00,E,K,I,M,associated
1982-06-04 09:07:00,F,K,C,M,associated
1982-06-04 10:34:00,F,K,C,M,associated
1982-06-04 13:13:00,F,K,C,X,associated
1982-06-04 14:00:00,F,K,C,X,associated
1982-06-04 19:11:00,E,K,C,M,associated
1982-06-05 12:04:00,F,K,C,M,associated
1982-06-05 14:58:00,E,K,C,M,associated
1982-06-05 15:09:00,E,K,C,M,associated
1982-06-05 15:26:00,E,K,C,M,associated
1982-06-05 19:41:00,E,K,I,M,associated
1982-06-05 19:59:00,E,K,I,M,associated
1982-06-05 20:45:00,E,K,I,M,associated
1982-06-05 23:20:00,E,K,I,M,associated
1982-06-06 13:27:00,E,K,I,M,associated
